波数(cm-1),吸光度
744.39,0.089540
744.87,0.089022
745.35,0.088535
745.83,0.088053
746.32,0.087562
746.80,0.087068
747.28,0.086604
747.76,0.086211
748.25,0.085915
748.73,0.085713
749.21,0.085562
749.69,0.085386
750.17,0.085095
750.66,0.084614
751.14,0.083908
751.62,0.082997
752.10,0.081954
752.58,0.080897
753.07,0.079963
753.55,0.079266
754.03,0.078884
754.51,0.078827
754.99,0.079040
755.48,0.079412
755.96,0.079813
756.44,0.080128
756.92,0.080274
757.41,0.080229
757.89,0.080018
758.37,0.079699
758.85,0.079330
759.33,0.078953
759.82,0.078581
760.30,0.078211
760.78,0.077835
761.26,0.077462
761.74,0.077125
762.23,0.076868
762.71,0.076735
763.19,0.076744
763.67,0.076873
764.15,0.077067
764.64,0.077255
765.12,0.077364
765.60,0.077345
766.08,0.077183
766.57,0.076895
767.05,0.076514
767.53,0.076081
768.01,0.075636
768.49,0.075212
768.98,0.074837
769.46,0.074536
769.94,0.074316
770.42,0.074168
770.90,0.074055
771.39,0.073923
771.87,0.073716
772.35,0.073395
772.83,0.072964
773.32,0.072472
773.80,0.072007
774.28,0.071657
774.76,0.071483
775.24,0.071486
775.73,0.071608
776.21,0.071738
776.69,0.071756
777.17,0.071581
777.65,0.071186
778.14,0.070619
778.62,0.069973
779.10,0.069364
779.58,0.068888
780.06,0.068594
780.55,0.068478
781.03,0.068491
781.51,0.068556
781.99,0.068589
782.48,0.068524
782.96,0.068322
783.44,0.067973
783.92,0.067503
784.40,0.066961
784.89,0.066414
785.37,0.065924
785.85,0.065541
786.33,0.065280
786.81,0.065123
787.30,0.065020
787.78,0.064916
788.26,0.064767
788.74,0.064563
789.23,0.064335
789.71,0.064138
790.19,0.064037
790.67,0.064068
791.15,0.064225
791.64,0.064451
792.12,0.064661
792.60,0.064763
793.08,0.064685
793.56,0.064403
794.05,0.063931
794.53,0.063319
795.01,0.062625
795.49,0.061903
795.97,0.061200
796.46,0.060551
796.94,0.059992
797.42,0.059556
797.90,0.059270
798.39,0.059138
798.87,0.059133
799.35,0.059192
799.83,0.059222
800.31,0.059134
800.80,0.058876
801.28,0.058455
801.76,0.057946
802.24,0.057471
802.72,0.057166
803.21,0.057132
803.69,0.057398
804.17,0.057913
804.65,0.058564
805.13,0.059195
805.62,0.059663
806.10,0.059870
806.58,0.059778
807.06,0.059415
807.55,0.058852
808.03,0.058189
808.51,0.057532
808.99,0.056973
809.47,0.056583
809.96,0.056405
810.44,0.056443
810.92,0.056666
811.40,0.057003
811.88,0.057362
812.37,0.057637
812.85,0.057743
813.33,0.057625
813.81,0.057279
814.30,0.056744
814.78,0.056101
815.26,0.055452
815.74,0.054897
816.22,0.054518
816.71,0.054369
817.19,0.054471
817.67,0.054808
818.15,0.055335
818.63,0.055982
819.12,0.056656
819.60,0.057261
820.08,0.057721
820.56,0.057986
821.04,0.058051
821.53,0.057950
822.01,0.057750
822.49,0.057521
822.97,0.057320
823.46,0.057182
823.94,0.057111
824.42,0.057099
824.90,0.057136
825.38,0.057224
825.87,0.057376
826.35,0.057603
826.83,0.057896
827.31,0.058222
827.79,0.058520
828.28,0.058727
828.76,0.058799
829.24,0.058735
829.72,0.058580
830.21,0.058416
830.69,0.058327
831.17,0.058362
831.65,0.058515
832.13,0.058721
832.62,0.058884
833.10,0.058901
833.58,0.058710
834.06,0.058310
834.54,0.057762
835.03,0.057163
835.51,0.056620
835.99,0.056221
836.47,0.056015
836.95,0.056014
837.44,0.056206
837.92,0.056561
838.40,0.057042
838.88,0.057601
839.37,0.058183
839.85,0.058716
840.33,0.059126
840.81,0.059356
841.29,0.059369
841.78,0.059173
842.26,0.058812
842.74,0.058361
843.22,0.057901
843.70,0.057502
844.19,0.057216
844.67,0.057070
845.15,0.057074
845.63,0.057229
846.11,0.057524
846.60,0.057934
847.08,0.058410
847.56,0.058890
848.04,0.059297
848.53,0.059564
849.01,0.059659
849.49,0.059595
849.97,0.059431
850.45,0.059247
850.94,0.059124
851.42,0.059107
851.90,0.059192
852.38,0.059336
852.86,0.059475
853.35,0.059563
853.83,0.059580
854.31,0.059547
854.79,0.059505
855.27,0.059494
855.76,0.059533
856.24,0.059609
856.72,0.059692
857.20,0.059758
