角度(2θ),强度
14.85427715,1687
14.86740743,1693
14.88053771,1643
14.893668,1739
14.90679828,1728
14.91992856,1630
14.93305884,1639
14.94618913,1702
14.95931941,1639
14.97244969,1549
14.98557998,1646
14.99871026,1742
15.01184054,1688
15.02497082,1630
15.03810111,1685
15.05123139,1646
15.06436167,1611
15.07749195,1567
15.09062224,1684
15.10375252,1636
15.1168828,1657
15.13001308,1712
15.14314337,1589
15.15627365,1598
15.16940393,1673
15.18253422,1507
15.1956645,1563
15.20879478,1636
15.22192506,1645
15.23505535,1573
15.24818563,1638
15.26131591,1635
15.27444619,1598
15.28757648,1663
15.30070676,1652
15.31383704,1622
15.32696732,1623
15.34009761,1626
15.35322789,1607
15.36635817,1638
15.37948846,1543
15.39261874,1582
15.40574902,1639
15.4188793,1679
15.43200959,1661
15.44513987,1640
15.45827015,1652
15.47140043,1616
15.48453072,1627
15.497661,1595
15.51079128,1590
15.52392157,1549
15.53705185,1608
15.55018213,1573
15.56331241,1599
15.5764427,1547
15.58957298,1558
15.60270326,1513
15.61583354,1676
15.62896383,1613
15.64209411,1598
15.65522439,1576
15.66835467,1636
15.68148496,1622
15.69461524,1659
15.70774552,1573
15.72087581,1548
15.73400609,1576
15.74713637,1521
15.76026665,1540
15.77339694,1628
15.78652722,1572
15.7996575,1595
15.81278778,1610
15.82591807,1489
15.83904835,1533
15.85217863,1596
15.86530891,1581
15.8784392,1550
15.89156948,1536
15.90469976,1547
15.91783005,1557
15.93096033,1564
15.94409061,1522
15.95722089,1602
15.97035118,1605
15.98348146,1549
15.99661174,1618
16.00974202,1605
16.02287231,1495
16.03600259,1514
16.04913287,1554
16.06226315,1533
16.07539344,1565
16.08852372,1493
16.101654,1588
16.11478429,1516
16.12791457,1558
16.14104485,1529
16.15417513,1503
16.16730542,1532
16.1804357,1516
16.19356598,1553
16.20669626,1536
16.21982655,1535
16.23295683,1562
16.24608711,1581
16.25921739,1498
16.27234768,1571
16.28547796,1513
16.29860824,1583
16.31173853,1477
16.32486881,1562
16.33799909,1564
16.35112937,1575
16.36425966,1552
16.37738994,1629
16.39052022,1533
16.4036505,1485
16.41678079,1498
